,ID,Question,Answer,Vote Status,Timestamp
56,57,EB3 to EB2 Portability . My EB3 I-485 is pending with PD 06/2006. My company is willing to file the new EB2 as I have Indian equivalent Masters (3+3 years) and more experience as well as increased job responsibilities. Can I accept it and do the portability to get my EB3 PD? What is the minimum wage for EB2 category? Would my current company experience counts for new EB2 category? Any suggestions on the EB2 job responsibilities?,"Theoretically, this is possible. As to the practical implications, you must speak with the lawyers who will represent you in the second green card process.",up,N/A
57,58,EB2 qualification with MS . I have MS in Electrical engineering with 3 yrs exp. The job requirement is for MS in Engineering + 2 yrs. Do I qualify for EB2?,"Yes, you qualify for EB-2, unless the alternate requirements, if any, for the job are less than Bachelor's + 5 years exp.",up,N/A
58,59,Masters in Computer Science and EB2 eligibility . I have done my Master's in computer science in US and I have 6 months experience before joining my current company. Will I be eligible for EB2 category?,If the job requires a Master's degree - yes.,up,N/A
59,60,"Regarding GC application after PhD . I am in my final year of PhD (Semiconductor devices) at a university in US. I did my MS in the same university. I have around 5 first author publications. The jobs in my area typically require a PhD, so I was wondering what are my chances of getting green card under EB-2 category (right after I get a job in the industry)?",EB-2 chances look pretty good.,up,N/A
60,61,"Can EB3 PD be carried to new EB2? . I filed Perm under EB3 category on 1-Oct-2008. I got an audit. As per your current Perm dates, they are processing Aug'08 audits. Can I file with same employer under EB2? If yes, can I also keep EB3 file running parallelly. Is there a way for me to carry EB3 PD after I-140 Approval,if I file a new EB2? I completed 4yrs 2 months on H1B already. Please suggest me if I can change my employer now to file for EB2 or not. (If there is any way i can carry my EB3 PD for EB2 or not?). My lawyer said they can not change the current EB3 file to EB2 as they did not describe it for EB2 role.","It is logically inconsistent for two jobs from the same company for the same individual. If you have a good, logical, true explanation, there is no law that says you cannot have twoPERMapps for the same individual for different jobs with the same company. But you cannot transferPDuntil theI-140is approved. I see no issue with changing jobs right away. You may have just enough time.",up,N/A
61,62,"EB2 - Eligibility . I have 3-year Bachelor's degree, Certified Software Architect, 15+ yrs experience(including current employer), 100K+ salary. Do I qualify for EB2 under Exceptional Ability/","Under EB-1, probably no. Under EB-2, unlikely, but have your lawyers review.",up,N/A
62,63,EB2 Schedule A question . My PERM application just got denied due to the recent layoff in my company. Can I apply EB2 (schedule A) to bypass the labor certification step? Will the recent PERM denial affect the Schedule A application? Is it ok to submit the schedule A application soon or I have to wait for a certain time period?,"If you are qualified, you can apply for Schedule A. I cannot think of any way thePERMdenial or layoffs could cause any issues and there should be no waiting to file.",up,N/A
63,64,EB2 Qualification . I have B.Tech in Engineering from India. I have over 13 years of experience in IT.I am working as IT architect.My company is ready to process my GC.Am I eligible for EB2?,"Assuming BTech is a 4-year degree, it looks like you are eligible for EB-2.",up,N/A
64,65,EB-2 with ChE MS + 2 yrs exp . I graduated from a 4 yr US BSChE program and a 2yr MS ChE program and have been working on an H-1B for the same U.S. University as a Research Associate for 2 yrs.All my publications (2-3) are still pending and I am secondary on most of them.What requirements would the position I am promoted to need in order for me to qualify for the EB-2?,"You qualify for EB-2, of course, whether or not a promotion is required is entirely up to your lawyer and the employer to determine. Any position that requires an MS OR BS = 5 years experience (progressively responsible) qualifies for EB-2 filing.",up,N/A
65,66,EB2 eligibility . I did my BSc (3 years) in Computer Science From St Xaviers Mumbai. Then I did my MCA ( 3 years ) from REC Trichy. I have 7 years of work experience and all those years have been in IT industry.My company is going to file my GC for me. Am I eligible for EB2 category?,"Yes, you are eligible for EB-2.",up,N/A
66,67,EB-2 with three years bachelor's degree . I have 3 yr Bachelor's degree (BSc) + 3 yr Bacheolor's degree in technology(BTech) from India and 8 years of experience. Do I qualify to apply for Green Card under EB2 category if the position requiers MS or BS+5 yr experience.,"Usually, you are NOT permitted to put together two 3-year bach. degrees. So, it appears unlikely you will qualify for EB-2.",up,N/A
67,68,"EB2 or EB3 . I have 7 years of experience with 3year bachelors degree + 2year masters degree from India.Job for which my GC is being filed is Bachelors degree+6yr experience. As per knowledge from different online sources 3year bach. degree+2year masters degree+5years progressive,post-masters exp.- Is considered as EB-2 Professionals with Advanced Degrees.My lawyer is saying since my bachelors(India)is a 3yr program & US bachelors degree is a 4yr program so my case falls under EB3 & not EB2. She also specified that under EB2 category the educational degree must be from a ""single source"" & not from combination of degrees.","Generally speaking, if BS and MS are in the same or similar fields, you should be able to combine them to arrive at a 4-year degree for EB2 purposes. You should have a shot at EB2.",up,N/A
68,69,"GC Processing and EB2 . I have a Masters degree from US and based on the forum and Q&A I think I'd qualify for EB2 category for GC. I am with company A and am contemplating if I should go forward with GC processing or change the job. I am completing 4 yrs on H1 by this month end and would like to make an educated decision given the companies are not eager to hire on H1 if it is completing 6 yrs soon.Can you please let me know how long the process may take if it has to be initiated now? I would be interested in premium processing of I-140, adjustment of status and EAD.","For people born in countries that have an EB2 backlog, times can vary greatly from 3-4 years to longer depending upon a number of variables. One big advantage of getting at least to the I-140 approved stage is that you can carry your priority date to the next employer and get H-1 extension beyond six years.",up,N/A
69,70,"EB2 and Clinical Specialist . I have a concern regarding EB2 application in my current employer, I will complete my 5 years experience next year and they are willing to promote me as a Clinical Specialist to count my 1 year and 1/2 as a staff/lower position with them to complete my 5years experience. My question is, is it possible that they could sponsor me for EB2 after they promote me as Clinical Specialist even if my 1 year and 1/2 experience with them?","Under the current law, it is possible to use the expience gained with the same employer if the labor certain job is more than fifty percent different from the earlier positions held with the same employer. Only a competent lawyer can help you assess the chances.",up,N/A
70,71,EB2 Eligibility . I want to know whether I am eligibile for EB2. Following are the key information. Is it a requirement to have 5 years experiences outside of US ? I have combined experiences of 6 years (US +India).Education - B.Tech (Electronics) in 2004 from IndiaExperiences - 6 Years ( 3 years in India and 3 Years in US),"With a four-year Bach. Degree and more than five years of post Bach experience, you should be able to have a shot at EB2.",up,N/A
71,72,"EB2, volunteer work counted as an experience? . I am an OT practicing here in the US and came from another country. I graduated with BSOT and had an OT VOLUNTEER work for 2 years in an adult setting back home. Would that count as a part of the 5 years experience? And from that 2 years, I was not yet licensed OT for the first 6months.","GENERALLY speaking, for EB-2, there is no requirement that I know of mandating paid experience. Volunteer experience could potentially be used.",up,N/A
72,73,EB2 eligibility . I have completed my Bachelor's Degree in Computer Science Engineering (4yrs) and working as a Subject Matter Expert in US on L1B visa with a work experience of 4yrs. I have completed 2 Microsoft certifications and AICPCU certifications. Will I be eligible for processing Green card on EB-2 category ?,You will need 5 years of post-bachelor's experience. Certifications do not usually help.,up,N/A
73,74,"If one has an approved I-140 . If one has an approved I-140, does he/she to move to a similar job/position/field to save the PD?","No, the job does not have to be similar. The green card has to be done again, but thePDcan be ported to any job and category (EB1, EB2, EB3).",up,N/A
74,75,"GC and EB2 . My GC application has been filed under EB3. 140 has been approved, PD-08/2008. I hold a MS degree from US and possess 5yrs work experience. I've recently been moved to a new role. While the role itself don't require a MS degree, will I be eligible to file an EB2 application if the role required a BS + 5yrs work experience?My Wife is an Indian citizen but was born in Kuwait and is on H4 currently. Is the concept of ""Cross Eligibility"" applicable to my GC application? If yes, how do we take advantage of it?","You can apply for EB2 if the job requires Bach. with 5 years of post bach. exp. and yes, you can use cross chargeability. Discuss details with your lawyers.",up,N/A
75,76,EB2 eligibility for advanced degree occupational therapist . I just want to know if I can be eligible for an EB2 visa...I have a bachelor of science in occupational therapy in the Philippines and I am taking up an advanced degree in OT online here in the US..the question is...can I apply for EB2 after I had finished the advance degree in OT?,"In my opinion, if your job requires an advanced degree, you can apply for EB-2.",up,N/A
76,77,"EB2 Priority Date Cross Changeability... . Let me first thank you for guiding hundreds of us with your valuable advice. My sincere thanks to you. I have a question regarding the inter-changeability of EB2 prority dates. I'm an Indian citizen and my wife is a Russian citizen, born in Russia. She will be filing as my dependent on my green card. I read on some online forums that I can user her country's priority date (""current"" as of today) for the green card. Is this correct?","Yes, that is correct. This is referred to as ""Cross Changeability.""",up,N/A
77,78,"EB2 for a State job . I have been offered a state job, whose requirements are a Bachelor's degree with a 1 year experience. However, I have a US-based Master's degree. From what I understood from the text above, my green card can not be filed under EB2. I have talked to my employer about it and they have indicated that they are willing to help me in any way they can. If I were to request them to hire me in another position and advertise the new job requirements (Master's) after I'm hired, will I be eligible under the EB2 category?",You are correct. You will not qualify for an EB2 unless the job also legitimately requires a post graduate degree or Bach. with five years of experience at a minimum.,up,N/A
78,79,EB2 with online masters degree . I have done my 5 years of Bachelors(traditional school) in IT from USA and also my 2 years of MBA through distance education(online) from accredited(Accrediting Commission of the Distance Education and Training Council (DETC)) University in USA.I need to know if I qualify under EB2 Category(provided that job requires advanced degree). My employer wants to evaluate my Master degree because he thinks that Distance education is not recognized.,The key here is to find if the degree is accredited. Get together with the school.,up,N/A
79,80,"EB-2 . In order to qualify for EB2 under advance degrees, is it sufficient to have a MS degree from US univ or should the job requirement state so?",The job must also require (genuinely) EB-2 level qualifications.,up,N/A
80,81,PERM is approved under EB2 . My PERM is approved under EB2. My education is 3 yrs Diploma+ 3 yrs B.Tech + 1.5 Yrs M.Tech + 8 yrs of exp at the time of PERM). All my education is from India. Do you see any problem with my education in I-140?,"There are some variables. Generally speaking, if the BTech is supposed to be a 4-year degree and you got it in three because of your diploma, you should be fine.",up,N/A
81,82,EB2 . Could you please advise the average time it takes to obtain GC through EB2 category? I've got Master's in International Business and 7 years of experience in the USA and EU. I got a job offer from the States and I would like to file the petition.,The biggest delay for most people is in the priority date movement. Check out theVisa Bulletinand thePERMprocessing times. That should give you a good idea.,up,N/A
82,83,EB-2 Eligibility . Had a question regarding the EB-2 eligibility.My Perm was recently approved in EB-2 category.Had a question about education before we file the 140. I've a bachelors in Computing from UK which was a 3 year course and after that I have a Masters from UK in the computing which was a 1 year course. My question- is this qualification eligible of the EB-2 category. Just want to ensure that there is no RFE in 140.,Impossible to predict. It all depends upon the type of degrees and the language used in the FormETA9089,up,N/A
83,84,"Cross chargeability . On H1B, born in India, EB2 I-140 approved but cannot apply for I-485 since PD is Nov 2008. Is cross-chargeability applicable in this case, if I marry GF who was born in country other than India/China?Is it OK if the GF is not here right now or on other visa category than H1B? Will marrying enable both of us to file for I-485 immediately?",Cross changeability is possible if your spouse was born in a country other than your country of birth. She can file herI-485only if she is in USA.,up,N/A
84,85,"US embassy denial . I have my EB2 approved by the USCIS, do I still get the chance to be denied by the US embassy for the consular interview?","It is unlikely, but possible.",up,N/A
85,86,"PERM classification EB2 . I am technology professional with nearly 9 years of work experience. I am currently working as a software consultant in a trading firm in the US and will be graduating from a part time MBA program (concentrations in Finance) this december. If I plan to apply for PERM next year, will I be eligible to apply under EB-2 US Masters degree, given that my MBA in finance will help in understanding complex financial principles and writing algorithms that support day to day trading? In this case, will my previous experience be evaluated?","As long as the job requires a Master's degree and you have earned that degree by the time you file yourPERM, you should be able to get EB-2.",up,N/A
86,87,"EB3 to EB2 and I-140 Refile . I have worked for Company A and got my labor certificate(Approved in May 2009) and I-140(Approved in Nov 2009 under Eb-3). But company A got acquired by Company B. Company B bought major part of the assets from Company A. Both companies do same kind of business.1. The new company B is in same County and State(but different cities).2. I Will be doing similar or same work in a similar position.3. H1B transfered from Company A to Company B.1) Can company B use Company A Labor certicate and refile the I-140 again?2) Since Company A filed I-140 on EB-3, Can Company B refile I-140 on EB2?","Generally speaking, I see this as a good opportunity to start a newPERMunder EB2 and then transfer the priority date. Speak with your lawyers.",up,N/A
87,88,10+3.5 years diploma + 3 years BS . I did 3.5 years diploma in computer engineering + 3 years BS in information systems (BITS). MY labor is in process under EB2 catageory. I am worried that my i -140 is going to denied because for my education. Mr. Khanna do you have any approval cases with diploma + BS.,"I think your worry is well founded. These type of cases are difficult to get approved. I am commenting in general because I do not know the exact facts. Discuss your concern with your lawyers and if possible, get a response in writing.",up,N/A
88,89,"EB1 Extraordinary ability . I filed my EB1 and EB2 NIW together, EB1 was denied but EB2 NIW was approved. I refiled EB1. I am a physician at one of top university , with many publications, presentations and offers from top league universities. There are only 12 people in the whole US that do same thing as I do in my clinical speciality. However I do not have any awards. What are the chances that my second filing of EB1 may go through.","Impossible to answer, Doc. This is like diagnosing a patient without access to the patient or his records. Impossible for me to say. I do not know your case.",up,N/A
89,90,"EB2 from EB3 qualification . I am currently petitioned under EB3 (for embassy interview already) but unfortunately is caught up with the retrogression. Can I apply for an EB2 visa? I have a Bachelor's degree (BSN), took up Medicine (equivalent of a master's degree in academe) and currently is a faculty/administrator in one of the top nursing schools in Manila, going on 5 years of service. I am likewise a PhD student (Major in Biology) in one of the top university also in Manila. Am I qualified for an EB2? If yes, is EB2 a family based peition? My parents live in New Jersey. Thank you.","The term ""EB"" means employment-based. EB-2 is available for people with post graduate degrees (by US standards) OR a 4 years bach. degree with five years of progressively responsible experience. You need to speak with your lawyers about applying for an EB-2 and transferring your priority date.",up,N/A
90,91,Master transcript as degree . I received a complete official transcript and a letter confirming that I have completed all the requirements of the master degree. The university's next graduation date is Jan-30 2009 when I will get the diploma. Can I apply for EB2 on my complete official transcript or I have to wait until I get the diploma.,"Generally speaking, under immigration law we focus on when the degree was completed - NOT when the formal diploma was conferred. Speak with your lawyers.",up,N/A
91,92,"When does education become ground for denial - EB-2 . If I file under EB2 in same educational qualifications, so in which stage it would be chances to denied. I mean in Labor, 140 or 485?",Your education/qualifications are USUALLY questioned in great detail at theI-140stage. ButUSCISorDOLcan question any of these matters at any stage. I have seen approved I-140's being reopened and denied at theI-485stage.,up,N/A
92,93,EB2 Qualification . I do have a question regarding EB2 eligibility. I earned a Bachelor degree in Science(B.Sc with Physics subject-which is not related to IT) from India(3 years) and also earned Masters in Computer (MCA in IT) (3 Years). So will I be able to file my employment Green card in EB2 category if I file my Green card in IT based company?,"It is possible, but tell your lawyers to draft thePERMapplication carefully, so if EB2 is denied, EB3 should still be approved.",up,N/A
93,94,EB2 Qualification . I do have a question regarding EB2 eligibility. I earned a Bachelor degree in Science(B.Sc with Physics subject-which is not related to IT) from India(3 years) and also earned Masters in Computer (MCA in IT) (3 Years). So will I be able to file my employment Green card in EB2 category if I file my Green card in IT based company?,"It is possible, but tell your lawyers to draft thePERMapplication carefully, so if EB2 is denied, EB3 should still be approved.",up,N/A
94,95,"Occupational Therapist and EB2 . My wife has a Post Professsional degree in OT from a reputed school. However, we are not sure if she qualifies for EB2 processing similar to Physical Therapists. I think she has to file like any other profession and doesnot get special consideration that PTs get. Can you please clarify?",OT's have no special category unlike physical therapists. But EB-2 may be possible. Discuss with her lawyers.,up,N/A
95,96,3 years of experience in IT field and completing a Masters degree - EB2 . I am having 3 years of work experience. My intention is to complete my masters. Is it good to do MS with having 3 years of work experience.Please suggest me on this.Thanks in advance.,"I assume you are asking whether you can process an EB-2 green card. The answer is yes, once you complete your Master's degree and take up a job that requires such degree or Bachelor's plus five years experience.",up,N/A
